Person fullname,Person email,Person phonenumber,Person position,Organization name,Organization phonenumber,Organization country,Organization city,Organization zip,Organization state,Organization address,Organization website,Deal name,Deal description,Deal pipeline stage,Deal pipeline,Deal Owner Mail Id,Deal project cost,Deal stage,Deal project currency,Deal followers,Activity name,Activity tasktype,Activity description,Activity priority,Activity startdate,Activity call request id,Activity call code,Activity call msg,Assigned Person Mail Id
Selva rasu,Selvarasu@gmail.com,8956235689,Manager,Saneforce,9898989898,India,Chennai,600001,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Maypharm Life Science - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5000,Won,INR,,Call sundar,Call,Type Description,High,19-05-2021,Custom Data,Custom Data,Custom Data,qc@leadforce.in
Shiva,Shiva@gmail.com,8956235690,Manager,Saneforce,9898989899,India,Chennai,600002,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,CASID PHARMACEUTICALS - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5001,Won,INR,,Call sundar,Call,Type Description,High,19-05-2022,Custom Data,Custom Data,Custom Data,qc@leadforce.in
guru,guru@gmail.com,8956235691,Manager,Saneforce,9898989900,India,Chennai,600003,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Gyno pharmaceutical Pvt Ltd - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5002,Won,INR,,Call sundar,Call,Type Description,High,19-05-2023,Custom Data,Custom Data,Custom Data,qc@leadforce.in
lara,lara@gmail.com,8956235692,Manager,Saneforce,9898989901,India,Chennai,600004,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Rezox Remedies - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5003,Won,INR,,Call sundar,Call,Type Description,High,19-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
miller,miller@gmail.com,8956235693,Manager,Saneforce,9898989902,India,Chennai,600005,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Precision Coatings Pvt. Ltd - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5004,Won,INR,,Call sundar,Call,Type Description,High,20-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
shaw,shaw@gmail.com,8956235694,Manager,Saneforce,9898989903,India,Chennai,600006,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Medall Diagnostics - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5005,Won,INR,,Call sundar,Call,Type Description,High,21-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
gopal varma,gopal varma@gmail.com,8956235695,Manager,Saneforce,9898989904,India,Chennai,600007,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,PathCare Diagnostics - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5006,Won,INR,,Call sundar,Call,Type Description,High,22-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
tonny,tonny@gmail.com,8956235696,Manager,Saneforce,9898989905,India,Chennai,600008,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Sycys Labs Private Limited - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5007,Won,INR,,Call sundar,Call,Type Description,High,23-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
thor,thor@gmail.com,8956235697,Manager,Saneforce,9898989906,India,Chennai,600009,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,FOREGEN HEALTHCARE - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5008,Won,INR,,Call sundar,Call,Type Description,High,24-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
ankith singh,ankith singh@gmail.com,8956235698,Manager,Saneforce,9898989907,India,Chennai,600010,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Leeford Healthcare Limited - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5009,Won,INR,,Call sundar,Call,Type Description,High,25-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
ajith ,ajith @gmail.com,8956235699,Manager,Saneforce,9898989908,India,Chennai,600011,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,"Janricsan pharma pvt Ltd, Chennai - March 2022",Type Description,Demo,Payroll,qc@leadforce.in,5010,Won,INR,,Call sundar,Call,Type Description,High,26-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
dhanush,dhanush@gmail.com,8956235700,Manager,Saneforce,9898989909,India,Chennai,600012,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Saanso Pharma Pvt Ltd - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5011,Won,INR,,Call sundar,Call,Type Description,High,27-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
kodi ,kodi @gmail.com,8956235701,Manager,Saneforce,9898989910,India,Chennai,600013,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Jammi Pharmaceuticals - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5012,Won,INR,,Call sundar,Call,Type Description,High,28-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
anbu,anbu@gmail.com,8956235702,Manager,Saneforce,9898989911,India,Chennai,600014,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Willburt Remedies Pvt  Ltd - March 2022,Type Description,Demo,Payroll,qc@leadforce.in,5013,Won,INR,,Call sundar,Call,Type Description,High,29-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
veera,veera@gmail.com,8956235703,Manager,Saneforce,9898989912,India,Chennai,600015,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,"D-Cure Pharmaceuticals Pvt Ltd, Delhi- March 2022",Type Description,Demo,Payroll,qc@leadforce.in,5014,Won,INR,,Call sundar,Call,Type Description,High,30-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
palsamy,palsamy@gmail.com,8956235704,Manager,Saneforce,9898989913,India,Chennai,600016,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,"WOVA Pharmaceuticals,chennai- March 2022",Type Description,Demo,Payroll,qc@leadforce.in,5015,Won,INR,,Call sundar,Call,Type Description,High,31-05-2024,Custom Data,Custom Data,Custom Data,qc@leadforce.in
