Person fullname,Person email,Person phonenumber,Person position,Organization name,Organization phonenumber,Organization country,Organization city,Organization zip,Organization state,Organization address,Organization website,Deal name,Deal description,Deal pipeline stage,Deal pipeline,Deal Owner Mail Id,Deal start date,Deal deadline,Deal project cost,Deal stage,Deal project currency,Deal lead id,Deal follower mail id,Activity name,Activity tasktype,Activity description,Activity priority,Activity startdate,Activity send reminder,Activity call request id,Activity call code,Activity call msg,Assigned Person Mail Id
ajith ,ajith @gmail.com,8956235699,Manager,Imported org ,9898989908,India,Chennai,600011,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,"Janricsan pharma pvt Ltd, Chennai - May 2022",Type Description,Demo,Payroll,qc@leadforce.in,19-05-2022,25-05-2022,5010,Won,INR,,rameshraj2310@gmail.com,Call sundar,Call,Type Description,High,19-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
amala,amala@gmail.com,8956235706,Manager,Imported org ,9898989915,India,Chennai,600018,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Votary Laboratories India Limited - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,20-05-2022,26-05-2022,5017,Won,INR,,rameshraj2311@gmail.com,Call sundar,Call,Type Description,High,20-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
anbu,anbu@gmail.com,8956235702,Manager,Imported org ,9898989911,India,Chennai,600014,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Willburt Remedies Pvt  Ltd - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,21-05-2022,27-05-2022,5013,Won,INR,,rameshraj2312@gmail.com,Call sundar,Call,Type Description,High,21-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
ankith singh,ankith singh@gmail.com,8956235698,Manager,Imported org ,9898989907,India,Chennai,600010,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Leeford Healthcare Limited - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,22-05-2022,28-05-2022,5009,Won,INR,,rameshraj2313@gmail.com,Call sundar,Call,Type Description,High,22-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
dhanush,dhanush@gmail.com,8956235700,Manager,Imported org ,9898989909,India,Chennai,600012,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Saanso Pharma Pvt Ltd - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,23-05-2022,29-05-2022,5011,Won,INR,,rameshraj2314@gmail.com,Call sundar,Call,Type Description,High,23-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
dolisha,dolisha@gmail.com,8956235707,Manager,Imported org ,9898989916,India,Chennai,600019,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Jibok Pharma - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,24-05-2022,30-05-2022,5018,Won,INR,,rameshraj2315@gmail.com,Call sundar,Call,Type Description,High,24-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
gopal varma,gopal varma@gmail.com,8956235695,Manager,Imported org ,9898989904,India,Chennai,600007,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,PathCare Diagnostics - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,25-05-2022,31-05-2022,5006,Won,INR,,rameshraj2316@gmail.com,Call sundar,Call,Type Description,High,25-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
guru,guru@gmail.com,8956235691,Manager,Imported org ,9898989900,India,Chennai,600003,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Gyno?harmaceutical Pvt Ltd - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,26-05-2022,01-06-2022,5002,Won,INR,,rameshraj2317@gmail.com,Call sundar,Call,Type Description,High,26-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
jency,jency@gmail.com,8956235708,Manager,Imported org ,9898989917,India,Chennai,600020,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Xenovia Healtcare - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,27-05-2022,02-06-2022,5019,Won,INR,,rameshraj2318@gmail.com,Call sundar,Call,Type Description,High,27-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
kodi ,kodi @gmail.com,8956235701,Manager,Imported org ,9898989910,India,Chennai,600013,Tamilnadu,"143, GJ street, kolmur, INR.",www.web.com,Jammi Pharmaceuticals - May 2022,Type Description,Demo,Payroll,qc@leadforce.in,28-05-2022,03-06-2022,5012,Won,INR,,rameshraj2319@gmail.com,Call sundar,Call,Type Description,High,28-05-2022 15:10,,Custom Data,Custom Data,Custom Data,qc@leadforce.in
